Rank,Title,Year,Runtime,Genre,Plot,Language,Poster,Metascore,rating,imdb_title,tomatoURL
11,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Adventure, Drama, Fantasy",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,"English, Sindarin",https://images-na.ssl-images-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,92,8.8,tt0120737,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring/
12,Forrest Gump,1994,142 min,"Comedy, Drama, Romance","While not intelligent, Forrest Gump has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BYThjM2MwZGMtMzg3Ny00NGRkLWE4M2EtYTBiNWMzOTY0YTI4XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,82,8.8,tt0109830,http://www.rottentomatoes.com/m/forrest_gump/
13,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy","After the rebels are overpowered by the Empire on their newly established base, Luke Skywalker begins Jedi training with Master Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BYmViY2M2MTYtY2MzOS00YjQ1LWIzYmEtOTBiNjhlMGM0NjZjXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,81,8.8,tt0080684,http://www.rottentomatoes.com/m/empire_strikes_back/
14,Inception,2010,148 min,"Action, Adventure, Sci-Fi","A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.","English, Japanese, French",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,74,8.8,tt1375666,http://www.rottentomatoes.com/m/inception/
15,The Lord of the Rings: The Two Towers,2002,179 min,"Adventure, Drama, Fantasy","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","English, Sindarin, Old English",https://images-na.ssl-images-amazon.com/images/M/MV5BMDY0NmI4ZjctN2VhZS00YzExLTkyZGItMTJhOTU5NTg4MDU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,88,8.7,tt0167261,http://www.rottentomatoes.com/m/the_lord_of_the_rings_the_two_towers/
16,One Flew Over the Cuckoo's Nest,1975,133 min,Drama,A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,80,8.7,tt0073486,http://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest/
17,Goodfellas,1990,146 min,"Crime, Drama","The story of Henry Hill and his life through the teen years into the years of mafia, covering his relationship with wife Karen Hill and his Mob partners Jimmy Conway and Tommy DeVitto in the Italian-American crime syndicate.","English, Italian",https://images-na.ssl-images-amazon.com/images/M/MV5BNThjMzczMjctZmIwOC00NTQ4LWJhZWItZDdhNTk5ZTdiMWFlXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,89,8.7,tt0099685,http://www.rottentomatoes.com/m/1032176-goodfellas/
18,The Matrix,1999,136 min,"Action, Sci-Fi",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,73,8.7,tt0133093,http://www.rottentomatoes.com/m/matrix/
19,Seven Samurai,1954,207 min,"Adventure, Drama",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Japanese,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_SX300.jpg,98,8.7,tt0047478,http://www.rottentomatoes.com/m/1018639-seven_samurai/
20,Star Wars: Episode IV - A New Hope,1977,121 min,"Action, Adventure, Fantasy","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a wookiee and two droids to save the galaxy from the Empire's world-destroying battle-station, while also attempting to rescue Princess Leia from the evil Darth Vader.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ2OTk4N2QtOGQwNy00MmI3LWEwNmEtOTk0OTY3NDk2MGJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,92,8.7,tt0076759,http://www.rottentomatoes.com/m/star_wars/
21,City of God,2002,130 min,"Crime, Drama","Two boys growing up in a violent neighborhood of Rio de Janeiro take different paths: one becomes a photographer, the other a drug dealer.",Portuguese,https://images-na.ssl-images-amazon.com/images/M/MV5BNDJiNTEwMjMtOGQ1ZC00OTczLWFjZjctZWQ0MGJjZmFkMjcwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,79,8.7,tt0317248,http://www.rottentomatoes.com/m/city_of_god/
22,Se7en,1995,127 min,"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,65,8.6,tt0114369,http://www.rottentomatoes.com/m/seven/
23,The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,84,8.6,tt0102926,http://www.rottentomatoes.com/m/silence_of_the_lambs/
24,It's a Wonderful Life,1946,130 min,"Drama, Family, Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_SX300.jpg,89,8.6,tt0038650,http://www.rottentomatoes.com/m/1010792-its_a_wonderful_life/
25,Life Is Beautiful,1997,116 min,"Comedy, Drama, War","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Italian, German, English",https://images-na.ssl-images-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,59,8.6,tt0118799,http://www.rottentomatoes.com/m/1084398-life_is_beautiful/
26,The Usual Suspects,1995,106 min,"Crime, Drama, Mystery","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","English, Hungarian, Spanish, French",https://images-na.ssl-images-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,77,8.6,tt0114814,http://www.rottentomatoes.com/m/usual_suspects/
27,Léon: The Professional,1994,110 min,"Crime, Drama, Thriller","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.","English, Italian, French",https://images-na.ssl-images-amazon.com/images/M/MV5BMjdjMGU3MGYtN2Y5ZC00MTE4LWE4YWQtMTBhMjc3MTk0ZDUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,64,8.6,tt0110413,http://www.rottentomatoes.com/m/leon_the_professional/
28,Saving Private Ryan,1998,169 min,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","English, French, German, Czech",https://images-na.ssl-images-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,90,8.6,tt0120815,http://www.rottentomatoes.com/m/saving_private_ryan/
29,Spirited Away,2001,125 min,"Animation, Adventure, Family","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Japanese, English",https://images-na.ssl-images-amazon.com/images/M/MV5BOGJjNzZmMmUtMjljNC00ZjU5LWJiODQtZmEzZTU0MjBlNzgxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,94,8.6,tt0245429,http://www.rottentomatoes.com/m/spirited_away/
30,Once Upon a Time in the West,1968,164 min,Western,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Italian, Spanish, English",https://images-na.ssl-images-amazon.com/images/M/MV5BNTVhNzQ1ZmQtZDY4Ny00ODgwLWIwZTUtODhmOTY3NTQ2MWQ5XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,80,8.6,tt0064116,http://www.rottentomatoes.com/m/once_upon_a_time_in_the_west/
31,American History X,1998,119 min,"Crime, Drama",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,62,8.5,tt0120586,http://www.rottentomatoes.com/m/american_history_x/
32,Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_SX300.jpg,74,8.6,tt0816692,http://www.rottentomatoes.com/m/interstellar_2014/
33,Psycho,1960,109 min,"Horror, Mystery, Thriller","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BOWQ0MjRmZmUtY2Q2Yi00ODcxLWE4NGMtMTNjMDY1YmUzMjVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,97,8.5,tt0054215,http://www.rottentomatoes.com/m/psycho/
34,Casablanca,1942,102 min,"Drama, Romance, War","In Casablanca in December 1941, a cynical American expatriate encounters a former lover, with unforeseen complications.","English, French, German, Italian",https://images-na.ssl-images-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,100,8.5,tt0034583,http://www.rottentomatoes.com/m/1003707-casablanca/
35,City Lights,1931,87 min,"Comedy, Drama, Romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BZDRjMmI3ZjgtMGE3Mi00NjY5LTg0NWMtMmU3YzgyMjhmMjIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,N/A,8.6,tt0021749,http://www.rottentomatoes.com/m/city_lights/
36,The Green Mile,1999,189 min,"Crime, Drama, Fantasy","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","English, French",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg,61,8.5,tt0120689,http://www.rottentomatoes.com/m/green_mile/
37,The Intouchables,2011,112 min,"Biography, Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","French, English",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_SX300.jpg,57,8.6,tt1675434,http://www.rottentomatoes.com/m/the_intouchables/
38,Modern Times,1936,87 min,"Comedy, Drama, Family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,96,8.5,tt0027977,http://www.rottentomatoes.com/m/modern_times/
39,Raiders of the Lost Ark,1981,115 min,"Action, Adventure",Archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis.,"English, German, Hebrew, Spanish, Arabic, Nepali",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_SX300.jpg,85,8.5,tt0082971,http://www.rottentomatoes.com/m/raiders_of_the_lost_ark/
40,Rear Window,1954,112 min,"Mystery, Thriller",A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,8.5,tt0047396,http://www.rottentomatoes.com/m/1017289-rear_window/
41,The Pianist,2002,150 min,"Biography, Drama, Music",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"English, German, Russian",https://images-na.ssl-images-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,85,8.5,tt0253474,http://www.rottentomatoes.com/m/pianist/
42,The Departed,2006,151 min,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"English, Cantonese",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SX300.jpg,85,8.5,tt0407887,http://www.rottentomatoes.com/m/departed/
43,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi, Thriller","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son, John Connor, from a more advanced cyborg.","English, Spanish",https://images-na.ssl-images-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,75,8.5,tt0103064,http://www.rottentomatoes.com/m/terminator_2_judgment_day/
44,Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,86,8.5,tt0088763,http://www.rottentomatoes.com/m/back_to_the_future/
45,Whiplash,2014,107 min,"Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BOTVhMWQ5MDktMGE3OS00MjVlLWExZWYtMzY2MTg4ZGFiZDQ5L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,88,8.5,tt2582802,http://www.rottentomatoes.com/m/whiplash_2014/
46,Gladiator,2000,155 min,"Action, Adventure, Drama","When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,67,8.5,tt0172495,http://www.rottentomatoes.com/m/gladiator/
47,Memento,2000,113 min,"Mystery, Thriller",A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BZTcyNjk1MjgtOWI3Mi00YzQwLWI5MTktMzY4ZmI2NDAyNzYzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,80,8.5,tt0209144,http://www.rottentomatoes.com/m/memento/
48,The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",Two stage magicians engage in competitive one-upmanship in an attempt to create the ultimate stage illusion.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg,66,8.5,tt0482571,http://www.rottentomatoes.com/m/prestige/
49,The Lion King,1994,88 min,"Animation, Adventure, Drama",Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble.,"English, Swahili, Xhosa, Zulu",https://images-na.ssl-images-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_SX300.jpg,83,8.5,tt0110357,http://www.rottentomatoes.com/m/the_lion_king/
50,Apocalypse Now,1979,153 min,"Drama, War","During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade colonel who has set himself up as a god among a local tribe.","English, French, Vietnamese",https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1MDgzMmQtNDhlYS00MzZiLTllZGItNzliZTE1ODBiZDQwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,90,8.5,tt0078788,http://www.rottentomatoes.com/m/apocalypse_now/
51,Alien,1979,117 min,"Horror, Sci-Fi","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious life-form, and they soon realize that its life cycle has merely begun.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BNDNhN2IxZWItNGEwYS00ZDNhLThiM2UtODU3NWJlZjBkYjQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,83,8.5,tt0078748,http://www.rottentomatoes.com/m/alien/
52,Sunset Boulevard,1950,110 min,"Drama, Film-Noir",A screenwriter is hired to rework a faded silent film star's script only to find himself developing a dangerous relationship.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg,N/A,8.5,tt0043014,http://www.rottentomatoes.com/m/sunset_boulevard/
53,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,Comedy,An insane general triggers a path to nuclear holocaust that a war room full of politicians and generals frantically try to stop.,"English, Russian",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX300.jpg,96,8.5,tt0057012,http://www.rottentomatoes.com/m/dr_strangelove/
54,The Great Dictator,1940,125 min,"Comedy, Drama, War",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"English, Esperanto",https://images-na.ssl-images-amazon.com/images/M/MV5BMmExYWJjNTktNGUyZS00ODhmLTkxYzAtNWIzOGEyMGNiMmUwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.5,tt0032553,http://www.rottentomatoes.com/m/great_dictator/
55,Cinema Paradiso,1988,155 min,Drama,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",Italian,https://images-na.ssl-images-amazon.com/images/M/MV5BM2FhYjEyYmYtMDI1Yy00YTdlLWI2NWQtYmEzNzAxOGY1NjY2XkEyXkFqcGdeQXVyNTA3NTIyNDg@._V1_SX300.jpg,80,8.5,tt0095765,http://www.rottentomatoes.com/m/cinema_paradiso/
56,The Lives of Others,2006,137 min,"Drama, Thriller","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",German,https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_SX300.jpg,89,8.5,tt0405094,http://www.rottentomatoes.com/m/the_lives_of_others/
57,Grave of the Fireflies,1988,89 min,"Animation, Drama, War",A young boy and his little sister struggle to survive in Japan during World War II.,Japanese,https://images-na.ssl-images-amazon.com/images/M/MV5BZjEwNDVhZjMtYzA1MS00ZWUxLThjOGUtZTliNGZiNGYyMjA3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.5,tt0095327,http://www.rottentomatoes.com/m/hotaru_no_haka/
58,Paths of Glory,1957,88 min,"Drama, War","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","English, German, Latin",https://images-na.ssl-images-amazon.com/images/M/MV5BMDdkYzE5ODYtMmIwZi00MDgzLTk1YWEtZTcwNGRmMzAwNDMzXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,N/A,8.5,tt0050825,http://www.rottentomatoes.com/m/paths_of_glory/
59,Django Unchained,2012,165 min,"Drama, Western","With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","English, German, French, Italian",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,81,8.4,tt1853728,http://www.rottentomatoes.com/m/django_unchained_2012/
60,The Shining,1980,146 min,"Drama, Horror","A family heads to an isolated hotel for the winter where an evil and spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BZWFlYmY2MGEtZjVkYS00YzU4LTg0YjQtYzY1ZGE3NTA5NGQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,61,8.4,tt0081505,http://www.rottentomatoes.com/m/shining/
